"jahr","gemeinde_bfsnr","listen_code","listen_nr","waehlerproz"
2019,14,"SP",2,NA
2019,14,"FDP",3,NA
2019,14,"GLP",4,NA
2019,14,"Grüne",5,NA
2019,14,"CVP",6,NA
2019,14,"EVP",7,NA
2019,14,"AL",8,NA
2019,14,"BDP",9,NA
2019,14,"EDU",10,NA
2019,131,"SVP",1,NA
2019,131,"SP",2,NA
2019,131,"FDP",3,NA
2019,131,"GLP",4,NA
2019,131,"Grüne",5,NA
2019,131,"CVP",6,NA
2019,131,"EVP",7,NA
2019,131,"AL",8,NA
2019,131,"BDP",9,NA
2019,131,"EDU",10,NA
2019,135,"SVP",1,NA
2019,135,"SP",2,NA
2019,135,"FDP",3,NA
2019,135,"GLP",4,NA
2019,135,"Grüne",5,NA
2019,135,"CVP",6,NA
2019,135,"EVP",7,NA
2019,135,"AL",8,NA
2019,135,"BDP",9,NA
2019,135,"EDU",10,NA
2019,136,"SVP",1,NA
2019,136,"SP",2,NA
2019,136,"FDP",3,NA
2019,136,"GLP",4,NA
2019,136,"Grüne",5,NA
2019,136,"CVP",6,NA
2019,136,"EVP",7,NA
2019,136,"AL",8,NA
2019,136,"BDP",9,NA
2019,136,"EDU",10,NA
2019,137,"SVP",1,NA
2019,137,"SP",2,NA
2019,137,"FDP",3,NA
2019,137,"GLP",4,NA
2019,137,"Grüne",5,NA
2019,137,"CVP",6,NA
2019,137,"EVP",7,NA
2019,137,"AL",8,NA
2019,137,"BDP",9,NA
2019,137,"EDU",10,NA
2019,138,"SVP",1,NA
2019,138,"SP",2,NA
2019,138,"FDP",3,NA
2019,138,"GLP",4,NA
2019,138,"Grüne",5,NA
2019,138,"CVP",6,NA
2019,138,"EVP",7,NA
2019,138,"AL",8,NA
2019,138,"BDP",9,NA
2019,138,"EDU",10,NA
2019,139,"SVP",1,NA
2019,139,"SP",2,NA
2019,139,"FDP",3,NA
2019,139,"GLP",4,NA
2019,139,"Grüne",5,NA
2019,139,"CVP",6,NA
2019,139,"EVP",7,NA
2019,139,"AL",8,NA
2019,139,"BDP",9,NA
2019,139,"EDU",10,NA
2019,141,"SVP",1,NA
2019,141,"SP",2,NA
2019,141,"FDP",3,NA
2019,141,"GLP",4,NA
2019,141,"Grüne",5,NA
2019,141,"CVP",6,NA
2019,141,"EVP",7,NA
2019,141,"AL",8,NA
2019,141,"BDP",9,NA
2019,141,"EDU",10,NA
2019,293,"SVP",1,NA
2019,293,"SP",2,NA
2019,293,"FDP",3,NA
2019,293,"GLP",4,NA
2019,293,"Grüne",5,NA
2019,293,"CVP",6,NA
2019,293,"EVP",7,NA
2019,293,"AL",8,NA
2019,293,"BDP",9,NA
2019,293,"EDU",10,NA
2019,295,"SVP",1,NA
2019,295,"SP",2,NA
2019,295,"FDP",3,NA
2019,295,"GLP",4,NA
2019,295,"Grüne",5,NA
2019,295,"CVP",6,NA
2019,295,"EVP",7,NA
2019,295,"AL",8,NA
2019,295,"BDP",9,NA
2019,295,"EDU",10,NA
2019,151,"SVP",1,NA
2019,151,"SP",2,NA
2019,151,"FDP",3,NA
2019,151,"GLP",4,NA
2019,151,"Grüne",5,NA
2019,151,"CVP",6,NA
2019,151,"EVP",7,NA
2019,151,"AL",8,NA
2019,151,"BDP",9,NA
2019,151,"EDU",10,NA
2019,152,"SVP",1,NA
2019,152,"SP",2,NA
2019,152,"FDP",3,NA
2019,152,"GLP",4,NA
2019,152,"Grüne",5,NA
2019,152,"CVP",6,NA
2019,152,"EVP",7,NA
2019,152,"AL",8,NA
2019,152,"BDP",9,NA
2019,152,"EDU",10,NA
2019,153,"SVP",1,NA
2019,153,"SP",2,NA
2019,153,"FDP",3,NA
2019,153,"GLP",4,NA
2019,153,"Grüne",5,NA
2019,153,"CVP",6,NA
2019,153,"EVP",7,NA
2019,153,"AL",8,NA
2019,153,"BDP",9,NA
2019,153,"EDU",10,NA
2019,154,"SVP",1,NA
2019,154,"SP",2,NA
2019,154,"FDP",3,NA
2019,154,"GLP",4,NA
2019,154,"Grüne",5,NA
2019,154,"CVP",6,NA
2019,154,"EVP",7,NA
2019,154,"AL",8,NA
2019,154,"BDP",9,NA
2019,154,"EDU",10,NA
2019,155,"SVP",1,NA
2019,155,"SP",2,NA
2019,155,"FDP",3,NA
2019,155,"GLP",4,NA
2019,155,"Grüne",5,NA
2019,155,"CVP",6,NA
2019,155,"EVP",7,NA
2019,155,"AL",8,NA
2019,155,"BDP",9,NA
2019,155,"EDU",10,NA
2019,156,"SVP",1,NA
2019,156,"SP",2,NA
2019,156,"FDP",3,NA
2019,156,"GLP",4,NA
2019,156,"Grüne",5,NA
2019,156,"CVP",6,NA
2019,156,"EVP",7,NA
2019,156,"AL",8,NA
2019,156,"BDP",9,NA
2019,156,"EDU",10,NA
2019,157,"SVP",1,NA
2019,157,"SP",2,NA
2019,157,"FDP",3,NA
2019,157,"GLP",4,NA
2019,157,"Grüne",5,NA
2019,157,"CVP",6,NA
2019,157,"EVP",7,NA
2019,157,"AL",8,NA
2019,157,"BDP",9,NA
2019,157,"EDU",10,NA
2019,158,"SVP",1,NA
2019,158,"SP",2,NA
2019,158,"FDP",3,NA
2019,158,"GLP",4,NA
2019,158,"Grüne",5,NA
2019,158,"CVP",6,NA
2019,158,"EVP",7,NA
2019,158,"AL",8,NA
2019,158,"BDP",9,NA
2019,158,"EDU",10,NA
2019,159,"SVP",1,NA
2019,159,"SP",2,NA
2019,159,"FDP",3,NA
2019,159,"GLP",4,NA
2019,159,"Grüne",5,NA
2019,159,"CVP",6,NA
2019,159,"EVP",7,NA
2019,159,"AL",8,NA
2019,159,"BDP",9,NA
2019,159,"EDU",10,NA
2019,160,"SVP",1,NA
2019,160,"SP",2,NA
2019,160,"FDP",3,NA
2019,160,"GLP",4,NA
2019,160,"Grüne",5,NA
2019,160,"CVP",6,NA
2019,160,"EVP",7,NA
2019,160,"AL",8,NA
2019,160,"BDP",9,NA
2019,160,"EDU",10,NA
2019,161,"SVP",1,NA
2019,161,"SP",2,NA
2019,161,"FDP",3,NA
2019,161,"GLP",4,NA
2019,161,"Grüne",5,NA
2019,161,"CVP",6,NA
2019,161,"EVP",7,NA
2019,161,"AL",8,NA
2019,161,"BDP",9,NA
2019,161,"EDU",10,NA
2019,111,"SVP",1,NA
2019,111,"SP",2,NA
2019,111,"FDP",3,NA
2019,111,"GLP",4,NA
2019,111,"Grüne",5,NA
2019,111,"CVP",6,NA
2019,111,"EVP",7,NA
2019,111,"AL",8,NA
2019,111,"BDP",9,NA
2019,111,"EDU",10,NA
2019,112,"SVP",1,NA
2019,112,"SP",2,NA
2019,112,"FDP",3,NA
2019,112,"GLP",4,NA
2019,112,"Grüne",5,NA
2019,112,"CVP",6,NA
2019,112,"EVP",7,NA
2019,112,"AL",8,NA
2019,112,"BDP",9,NA
2019,112,"EDU",10,NA
2019,113,"SVP",1,NA
2019,113,"SP",2,NA
2019,113,"FDP",3,NA
2019,113,"GLP",4,NA
2019,113,"Grüne",5,NA
2019,113,"CVP",6,NA
2019,113,"EVP",7,NA
2019,113,"AL",8,NA
2019,113,"BDP",9,NA
2019,113,"EDU",10,NA
2019,114,"SVP",1,NA
2019,114,"SP",2,NA
2019,114,"FDP",3,NA
2019,114,"GLP",4,NA
2019,114,"Grüne",5,NA
2019,114,"CVP",6,NA
2019,114,"EVP",7,NA
2019,114,"AL",8,NA
2019,114,"BDP",9,NA
2019,114,"EDU",10,NA
2019,115,"SVP",1,NA
2019,115,"SP",2,NA
2019,115,"FDP",3,NA
2019,115,"GLP",4,NA
2019,115,"Grüne",5,NA
2019,115,"CVP",6,NA
2019,115,"EVP",7,NA
2019,115,"AL",8,NA
2019,115,"BDP",9,NA
2019,115,"EDU",10,NA
2019,116,"SVP",1,NA
2019,116,"SP",2,NA
2019,116,"FDP",3,NA
2019,116,"GLP",4,NA
2019,116,"Grüne",5,NA
2019,116,"CVP",6,NA
2019,116,"EVP",7,NA
2019,116,"AL",8,NA
2019,116,"BDP",9,NA
2019,116,"EDU",10,NA
2019,117,"SVP",1,NA
2019,117,"SP",2,NA
2019,117,"FDP",3,NA
2019,117,"GLP",4,NA
2019,117,"Grüne",5,NA
2019,117,"CVP",6,NA
2019,117,"EVP",7,NA
2019,117,"AL",8,NA
2019,117,"BDP",9,NA
2019,117,"EDU",10,NA
2019,118,"SVP",1,NA
2019,118,"SP",2,NA
2019,118,"FDP",3,NA
2019,118,"GLP",4,NA
2019,118,"Grüne",5,NA
2019,118,"CVP",6,NA
2019,118,"EVP",7,NA
2019,118,"AL",8,NA
2019,118,"BDP",9,NA
2019,118,"EDU",10,NA
2019,119,"SVP",1,NA
2019,119,"SP",2,NA
2019,119,"FDP",3,NA
2019,119,"GLP",4,NA
2019,119,"Grüne",5,NA
2019,119,"CVP",6,NA
2019,119,"EVP",7,NA
2019,119,"AL",8,NA
2019,119,"BDP",9,NA
2019,119,"EDU",10,NA
2019,120,"SVP",1,NA
2019,120,"SP",2,NA
2019,120,"FDP",3,NA
2019,120,"GLP",4,NA
2019,120,"Grüne",5,NA
2019,120,"CVP",6,NA
2019,120,"EVP",7,NA
2019,120,"AL",8,NA
2019,120,"BDP",9,NA
2019,120,"EDU",10,NA
2019,121,"SVP",1,NA
2019,121,"SP",2,NA
2019,121,"FDP",3,NA
2019,121,"GLP",4,NA
2019,121,"Grüne",5,NA
2019,121,"CVP",6,NA
2019,121,"EVP",7,NA
2019,121,"AL",8,NA
2019,121,"BDP",9,NA
2019,121,"EDU",10,NA
2019,191,"SVP",1,NA
2019,191,"SP",2,NA
2019,191,"FDP",3,NA
2019,191,"GLP",4,NA
2019,191,"Grüne",5,NA
2019,191,"CVP",6,NA
2019,191,"EVP",7,NA
2019,191,"AL",8,NA
2019,191,"BDP",9,NA
2019,191,"EDU",10,NA
2019,192,"SVP",1,NA
2019,192,"SP",2,NA
2019,192,"FDP",3,NA
2019,192,"GLP",4,NA
2019,192,"Grüne",5,NA
2019,192,"CVP",6,NA
2019,192,"EVP",7,NA
2019,192,"AL",8,NA
2019,192,"BDP",9,NA
2019,192,"EDU",10,NA
2019,193,"SVP",1,NA
2019,193,"SP",2,NA
2019,193,"FDP",3,NA
2019,193,"GLP",4,NA
2019,193,"Grüne",5,NA
2019,193,"CVP",6,NA
2019,193,"EVP",7,NA
2019,193,"AL",8,NA
2019,193,"BDP",9,NA
2019,193,"EDU",10,NA
